Op	InType	OutType	Template	DesignStat	DPD	TWDFR
div_by_128	unsigned16	unsigned16	sync	impl	0,846	-0,042
div_by_128	unsigned32	unsigned32	sync	impl	0,809	-0,098
div_by_128	unsigned64	unsigned64	sync	impl	1,152	-0,019
div_by_128	signed16	signed16	sync	impl	3,932	-0,192
div_by_128	signed32	signed32	sync	impl	4,285	-0,092
div_by_128	signed64	signed64	sync	impl	4,837	-0,118
dotnet_shift_left_by_8	unsigned64	unsigned64	sync	impl	0,811	-0,080
dotnet_shift_left_by_8	signed64	signed64	sync	impl	0,811	-0,080
dotnet_shift_right_by_8	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_8	signed64	signed64	sync	impl	1,251	-0,073
dotnet_shift_left_by_8	unsigned32	unsigned32	sync	impl	0,811	-0,080
dotnet_shift_left_by_8	signed32	signed32	sync	impl	0,811	-0,080
dotnet_shift_right_by_8	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_right_by_8	signed32	signed32	sync	impl	1,060	-0,072
mul_by_256	unsigned16	unsigned16	sync	impl	0,807	-0,060
mul_by_256	unsigned32	unsigned32	sync	impl	0,811	-0,080
mul_by_256	unsigned64	unsigned64	sync	impl	0,811	-0,080
mul_by_256	signed16	signed16	sync	impl	0,807	-0,060
mul_by_256	signed32	signed32	sync	impl	0,811	-0,080
mul_by_256	signed64	signed64	sync	impl	0,811	-0,080
div_by_256	unsigned16	unsigned16	sync	impl	0,734	-0,060
div_by_256	unsigned32	unsigned32	sync	impl	0,787	-0,098
div_by_256	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_256	signed16	signed16	sync	impl	3,757	-0,189
div_by_256	signed32	signed32	sync	impl	4,483	-0,092
div_by_256	signed64	signed64	sync	impl	4,881	-0,082
dotnet_shift_left_by_9	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_left_by_9	signed64	signed64	sync	impl	0,787	-0,098
dotnet_shift_right_by_9	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_right_by_9	signed64	signed64	sync	impl	1,282	-0,072
dotnet_shift_left_by_9	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_9	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_9	unsigned32	unsigned32	sync	impl	0,811	-0,080
dotnet_shift_right_by_9	signed32	signed32	sync	impl	1,295	-0,077
mul_by_512	unsigned16	unsigned16	sync	impl	0,802	-0,071
mul_by_512	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_512	unsigned64	unsigned64	sync	impl	0,787	-0,098
mul_by_512	signed16	signed16	sync	impl	0,802	-0,071
mul_by_512	signed32	signed32	sync	impl	0,787	-0,098
mul_by_512	signed64	signed64	sync	impl	0,787	-0,098
div_by_512	unsigned16	unsigned16	sync	impl	0,825	-0,071
div_by_512	unsigned32	unsigned32	sync	impl	0,811	-0,080
div_by_512	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_512	signed16	signed16	sync	impl	3,800	-0,077
div_by_512	signed32	signed32	sync	impl	4,252	-0,101
div_by_512	signed64	signed64	sync	impl	4,933	-0,082
dotnet_shift_left_by_10	unsigned64	unsigned64	sync	impl	0,809	-0,098
dotnet_shift_left_by_10	signed64	signed64	sync	impl	0,809	-0,098
dotnet_shift_right_by_10	unsigned64	unsigned64	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	signed64	signed64	sync	impl	1,003	-0,074
dotnet_shift_left_by_10	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_left_by_10	signed32	signed32	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	unsigned32	unsigned32	sync	impl	0,787	-0,098
dotnet_shift_right_by_10	signed32	signed32	sync	impl	1,283	-0,066
mul_by_1024	unsigned16	unsigned16	sync	impl	0,736	-0,071
mul_by_1024	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_1024	unsigned64	unsigned64	sync	impl	0,809	-0,098
mul_by_1024	signed16	signed16	sync	impl	0,736	-0,071
mul_by_1024	signed32	signed32	sync	impl	0,787	-0,098
mul_by_1024	signed64	signed64	sync	impl	0,809	-0,098
div_by_1024	unsigned16	unsigned16	sync	impl	0,736	-0,071
div_by_1024	unsigned32	unsigned32	sync	impl	0,787	-0,098
div_by_1024	unsigned64	unsigned64	sync	impl	0,787	-0,098
div_by_1024	signed16	signed16	sync	impl	3,910	-0,077
div_by_1024	signed32	signed32	sync	impl	4,494	-0,202
div_by_1024	signed64	signed64	sync	impl	5,008	-0,107
dotnet_shift_left_by_11	unsigned64	unsigned64	sync	impl	0,969	-0,074
dotnet_shift_left_by_11	signed64	signed64	sync	impl	0,969	-0,074
